web-scraper-order,web-scraper-start-url,descrip,precio
1616375269-3191,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Rento Casa en el Refugio Buena Ubicación Jgcc,0
1616375140-3012,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,"C177 Estrena casa, muy iluminada y amplia 4 r  3.5 baños","$15,000"
1616375269-3176,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,"Casa en renta condominio La Cima, el Refugio Querétaro con excelente iluminación","$15,500"
1616375056-2882,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,CASA EN RENTA EN  CALLE CERRADA ZONA LOS ARCOS EN QUERETARO,"$22,000"
1616375311-3249,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,"CASA EN RENTA EN EL REFUGIO $8,600.00","$8,600"
1616375035-2849,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en renta El Mirador 3 habitaciones JRH,"$13,000"
1616375182-3076,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"CASA RENTA EN JURIQUILLA, EXCELENTE ILUMINACION JARDIN 3 RECS CTO SERVICIO","$30,000"
1616375290-3215,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en renta El Refugio 3 habitaciones AVH,"$14,000"
1616375056-2892,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,CASA EN RENTA LOMA DORADA,"$27,000"
1616375203-3103,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,CASA NUEVA EN RENTA JURIQUILLA,"$14,200"
1616375119-2970,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en Renta Amueblada Santa Fe Juriquilla 2 Caprichos,"$34,000"
