web-scraper-order,web-scraper-start-url,titulo,precio,mets
1620502932-8171,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=1,"Se Vende Terreno en Milenio III de 215 m2, Privada, Seguridad 24.7 Alberca...","$1,225,000",215 m²
1620503016-8513,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=3,Terreno en Venta en Cumbres del Lago,"$1,645,150",253 m²
1620502885-7988,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?page=4,TERRENO EN VENTA EN EL CAMPANARIO QUERÉTARO,"$8,200,000",747 m²
1620502979-8352,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=4,El Refugio terreno de 270 mts2 en zona de mayor plusvalía! RAHQRO,"$1,976,400",270 m²
1620503065-8718,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=1,"TERRENO EN VENTA EN JURICA, PLANO Y BARDEADO, LISTO PARA CONSTRUIR HABITACIONAL","$4,800,000",600 m²
1620502949-8235,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=3,"Terreno habitacional en Venta, en El Condado, Corregidora","$1,040,000",200 m²
1620503058-8709,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=2,¡La mejor zona entre Jurica y Juriquilla! Venta de Terreno - Gran oportunidad,"$4,000,000",810 m²
1620503071-8764,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=2,LOTE EN VENTA EN SAN MIGUEL DE ALLENDE DE 9951 m2,"$1,990,200",9951 m²
1620502924-8159,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=2,MILENIO III terreno plano 194m2,"$1,360,660",194 m²
1620503058-8713,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=2,Terreno en venta para construir desarrollo en Jurica,"$7,500",10236 m²
1620503016-8519,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=3,Terreno en venta Cumbres del Lago JRH,"$2,226,620",253 m²
1620502986-8403,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=3,"Estrena! Terreno en VENTA en Fuentes Residencial, Qro.","$1,519,980",276 m²
1620502972-8343,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=5,TERRENO VENTA EL REFUGIO QUERETARO,"$1,590,000",250 m²
1620502924-8143,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=2,"Terreno en Venta, Amania, Querétaro","$952,278",244 m²
1620502932-8193,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=1,TERRENO DESCENDENTE EN MILENIO III EXCELENTE VISTA,"$2,900,000",580 m²
1620502972-8332,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=5,Lote de uso mixto dentro de desarrollo comercial y de servicios,"$4,216,000",620 m²
1620502924-8152,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=2,Terreno en venta en Milenio.,"$6,232,800",588 m²
1620502924-8137,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=2,Terreno en venta en Milenio III muy cerca del Superama,"$2,906,930",447 m²
